epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2253.77,1.09523,0.48684,1.14818,0.99169,0.99317,0.99452,0.71916,1.1163,0.4138,1.15036,0.0011882,0.0011882,0.0011882
43,2304.7,1.10376,0.49441,1.15237,0.98986,0.99956,0.99419,0.71534,1.13251,0.41312,1.16333,0.0011684,0.0011684,0.0011684
44,2355.63,1.08806,0.48219,1.14259,0.99322,0.99934,0.99375,0.71973,1.11877,0.39661,1.14506,0.0011486,0.0011486,0.0011486
45,2406.7,1.09521,0.48872,1.14648,0.9932,0.99638,0.99405,0.71738,1.10627,0.39928,1.14769,0.0011288,0.0011288,0.0011288
46,2457.79,1.08323,0.48901,1.14861,0.98928,0.99659,0.99339,0.72296,1.08911,0.38685,1.13975,0.001109,0.001109,0.001109
47,2509.26,1.07953,0.47476,1.14332,0.98946,1,0.99455,0.71126,1.09443,0.39077,1.14587,0.0010892,0.0010892,0.0010892
48,2560.13,1.08975,0.48315,1.14574,0.98945,1,0.99431,0.72131,1.11704,0.39538,1.15397,0.0010694,0.0010694,0.0010694
49,2611.09,1.08653,0.48655,1.15075,0.98653,0.99994,0.99409,0.71227,1.09815,0.39987,1.16778,0.0010496,0.0010496,0.0010496
50,2662.37,1.07075,0.47302,1.14322,0.98986,0.99952,0.9949,0.71676,1.12682,0.40363,1.17384,0.0010298,0.0010298,0.0010298
51,2713.38,1.07376,0.46713,1.13847,0.99319,0.99579,0.99493,0.73483,1.10708,0.39233,1.14688,0.00101,0.00101,0.00101
52,2764.59,1.06987,0.47142,1.1392,0.98599,1,0.99424,0.72659,1.08958,0.39393,1.12846,0.0009902,0.0009902,0.0009902
53,2815.76,1.06041,0.46049,1.13246,0.99294,1,0.99424,0.72839,1.10012,0.38363,1.13674,0.0009704,0.0009704,0.0009704
54,2866.92,1.06878,0.46528,1.14125,0.9928,1,0.99462,0.7328,1.11041,0.38586,1.14362,0.0009506,0.0009506,0.0009506
55,2918.02,1.06016,0.46202,1.13383,0.99312,1,0.99449,0.73503,1.09895,0.3793,1.13456,0.0009308,0.0009308,0.0009308
56,2969.19,1.07543,0.47435,1.14745,0.99322,0.99933,0.99455,0.72433,1.10938,0.39223,1.15803,0.000911,0.000911,0.000911
57,3020.22,1.05644,0.46,1.1386,0.9932,0.99637,0.99452,0.73434,1.10006,0.38188,1.14713,0.0008912,0.0008912,0.0008912
58,3071.9,1.04131,0.44889,1.12533,0.99222,1,0.99493,0.73478,1.10339,0.38066,1.14792,0.0008714,0.0008714,0.0008714
59,3123.09,1.05154,0.45532,1.12899,0.98981,1,0.99448,0.73354,1.09273,0.37592,1.13253,0.0008516,0.0008516,0.0008516
60,3174.17,1.04224,0.45359,1.12608,0.99284,1,0.99476,0.73862,1.09605,0.37681,1.13522,0.0008318,0.0008318,0.0008318
61,3225.61,1.03606,0.4521,1.1256,0.99245,1,0.9949,0.73172,1.09707,0.38031,1.14269,0.000812,0.000812,0.000812
62,3276.64,1.05142,0.45452,1.12972,0.99259,1,0.99479,0.7393,1.09648,0.38238,1.13401,0.0007922,0.0007922,0.0007922
63,3327.71,1.04033,0.4548,1.12485,0.99321,0.99881,0.99366,0.7306,1.07938,0.37166,1.13037,0.0007724,0.0007724,0.0007724
64,3379.12,1.02587,0.44455,1.11581,0.98983,0.99637,0.99449,0.73151,1.09237,0.37184,1.14011,0.0007526,0.0007526,0.0007526
65,3430.74,1.02908,0.44418,1.11594,0.99232,1,0.99476,0.72963,1.07795,0.37224,1.13223,0.0007328,0.0007328,0.0007328
66,3481.87,1.03305,0.44126,1.11944,0.98982,1,0.99279,0.72553,1.09329,0.37917,1.13549,0.000713,0.000713,0.000713
67,3533.24,1.02681,0.4419,1.12612,0.99319,0.99621,0.99455,0.73889,1.07909,0.36958,1.14177,0.0006932,0.0006932,0.0006932
68,3584.7,1.02291,0.44098,1.1168,0.99322,0.99969,0.9933,0.72888,1.10662,0.375,1.12998,0.0006734,0.0006734,0.0006734
69,3635.9,1.02604,0.43349,1.11871,0.98948,0.99659,0.99257,0.74004,1.09615,0.38508,1.13155,0.0006536,0.0006536,0.0006536
70,3687.22,1.02308,0.43472,1.11245,0.99319,0.99613,0.99479,0.73812,1.08472,0.38143,1.12393,0.0006338,0.0006338,0.0006338
71,3738.38,1.02739,0.43703,1.11863,0.98972,1,0.99493,0.73493,1.08924,0.37642,1.12963,0.000614,0.000614,0.000614
72,3789.56,1.02724,0.43357,1.11259,0.9932,0.99637,0.9949,0.73441,1.0852,0.36554,1.12922,0.0005942,0.0005942,0.0005942
73,3840.74,1.02893,0.43661,1.11416,0.9932,0.99642,0.99493,0.72601,1.09227,0.37242,1.13062,0.0005744,0.0005744,0.0005744
74,3891.85,1.02381,0.43418,1.10965,0.9932,0.99637,0.99483,0.73303,1.08946,0.36797,1.12413,0.0005546,0.0005546,0.0005546
75,3943.32,1.01407,0.43095,1.1104,0.98953,0.99659,0.99428,0.73853,1.09423,0.3746,1.12764,0.0005348,0.0005348,0.0005348
76,3994.79,1.01097,0.43108,1.10239,0.99249,0.99317,0.99466,0.73523,1.08646,0.37173,1.12867,0.000515,0.000515,0.000515
77,4046.17,1.01695,0.43012,1.10935,0.99317,0.99659,0.9949,0.73134,1.10964,0.37507,1.13445,0.0004952,0.0004952,0.0004952
78,4097.37,1.00432,0.42509,1.11137,0.99322,0.99949,0.99497,0.72991,1.10269,0.37656,1.13362,0.0004754,0.0004754,0.0004754
79,4148.55,1.01904,0.43433,1.108,0.99319,0.99617,0.9949,0.73779,1.10129,0.37123,1.12606,0.0004556,0.0004556,0.0004556
80,4199.74,1.00393,0.42273,1.10026,0.99311,0.99659,0.99479,0.73553,1.1001,0.36676,1.1329,0.0004358,0.0004358,0.0004358
