epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.544,1.46008,2.16349,1.26246,0.97475,0.99203,0.99271,0.67291,1.17245,0.86314,1.1061,0.00332684,0.00332684,0.00332684
2,223.175,1.28946,1.01809,1.20071,0.98501,0.96262,0.99044,0.64579,1.24844,0.6194,1.18715,0.00659423,0.00659423,0.00659423
3,329.168,1.33566,0.86925,1.24935,0.96665,0.96262,0.9864,0.62329,1.27023,0.62893,1.21336,0.00979563,0.00979563,0.00979563
4,434.438,1.33304,0.79878,1.28107,0.96352,0.91589,0.97472,0.61008,1.25799,1.10606,1.27619,0.009703,0.009703,0.009703
5,539.978,1.29248,0.72569,1.26234,0.9898,0.97664,0.99183,0.64784,1.23855,0.53828,1.17697,0.009604,0.009604,0.009604
6,645.491,1.26352,0.68901,1.25121,0.97662,0.97611,0.9904,0.66538,1.14286,0.5392,1.17501,0.009505,0.009505,0.009505
7,750.827,1.2448,0.65471,1.24234,0.99343,0.9743,0.99223,0.67349,1.25736,0.52582,1.2064,0.009406,0.009406,0.009406
8,857,1.21369,0.6298,1.23222,0.98722,0.99065,0.99395,0.69944,1.07777,0.46455,1.1355,0.009307,0.009307,0.009307
9,964.564,1.2185,0.62926,1.2383,0.99301,0.99642,0.9942,0.69845,1.11676,0.46892,1.15213,0.009208,0.009208,0.009208
10,1071.89,1.18651,0.60606,1.21908,0.9953,0.99042,0.99245,0.71678,1.09056,0.4783,1.15554,0.009109,0.009109,0.009109
11,1178.24,1.18817,0.59318,1.22421,0.98822,0.99533,0.99362,0.69675,1.12707,0.45317,1.13348,0.00901,0.00901,0.00901
12,1284.04,1.17189,0.58516,1.208,0.99068,0.99394,0.99371,0.70192,1.07151,0.46319,1.16429,0.008911,0.008911,0.008911
13,1390.21,1.15735,0.5741,1.20062,0.99264,1,0.99401,0.73026,1.04761,0.42212,1.10165,0.008812,0.008812,0.008812
14,1496.29,1.15366,0.57134,1.19249,0.98386,0.99727,0.99381,0.70831,1.0888,0.43199,1.13473,0.008713,0.008713,0.008713
15,1602.2,1.14849,0.56557,1.1972,0.99072,0.99747,0.9946,0.71884,1.05601,0.4282,1.11693,0.008614,0.008614,0.008614
16,1708.1,1.13596,0.54454,1.19513,0.99152,0.99533,0.99493,0.72995,1.08408,0.41916,1.1464,0.008515,0.008515,0.008515
17,1814.06,1.13659,0.54845,1.19815,0.99018,1,0.99447,0.73858,1.04707,0.42204,1.12835,0.008416,0.008416,0.008416
18,1920.39,1.12949,0.54838,1.19987,0.99222,0.99766,0.99495,0.72636,1.04326,0.41793,1.1195,0.008317,0.008317,0.008317
19,2026.53,1.13084,0.54421,1.1941,0.99438,0.99766,0.99422,0.72294,1.05578,0.4221,1.13884,0.008218,0.008218,0.008218
20,2132.79,1.12603,0.546,1.19256,0.99472,0.99533,0.99413,0.71868,1.04863,0.40612,1.12545,0.008119,0.008119,0.008119
21,2238.73,1.11562,0.52849,1.18089,0.99296,0.98934,0.99432,0.71591,1.05015,0.42269,1.10735,0.00802,0.00802,0.00802
22,2344.66,1.11227,0.52202,1.17022,0.98844,0.99929,0.99184,0.72163,1.01747,0.39382,1.09469,0.007921,0.007921,0.007921
23,2450.68,1.11647,0.53029,1.18335,0.99439,0.99766,0.99459,0.72957,1.04379,0.4011,1.15255,0.007822,0.007822,0.007822
24,2556.58,1.09496,0.51197,1.17469,0.99301,0.99513,0.99462,0.72489,1.01821,0.38215,1.11014,0.007723,0.007723,0.007723
25,2662.29,1.10032,0.51649,1.17962,0.99072,0.99777,0.99364,0.71718,1.03236,0.42418,1.10712,0.007624,0.007624,0.007624
26,2768.36,1.10066,0.51528,1.17275,0.995,0.99766,0.99481,0.73133,1.02135,0.38798,1.10806,0.007525,0.007525,0.007525
27,2874.12,1.10334,0.51233,1.17084,0.99083,0.99065,0.99214,0.731,1.05767,0.38068,1.10378,0.007426,0.007426,0.007426
28,2980.06,1.08847,0.50482,1.16853,0.99225,1,0.99319,0.72291,1.02633,0.39133,1.15226,0.007327,0.007327,0.007327
29,3085.91,1.08837,0.50728,1.17765,0.99304,0.99942,0.99343,0.74571,1.0027,0.38092,1.11044,0.007228,0.007228,0.007228
30,3192.75,1.08917,0.50468,1.16528,0.99072,0.99807,0.99402,0.72528,1.02022,0.36902,1.09598,0.007129,0.007129,0.007129
31,3298.97,1.07111,0.4925,1.16316,0.99454,0.99766,0.99465,0.74004,1.00909,0.36359,1.09412,0.00703,0.00703,0.00703
32,3405.1,1.07596,0.49233,1.16556,0.99068,0.99299,0.99381,0.72657,1.0076,0.36843,1.09466,0.006931,0.006931,0.006931
33,3511.27,1.07181,0.49347,1.16508,0.99073,0.99934,0.99493,0.73244,0.99461,0.3651,1.09801,0.006832,0.006832,0.006832
34,3617.47,1.06532,0.48692,1.1541,0.99304,0.99952,0.99481,0.72961,1.00076,0.36498,1.09569,0.006733,0.006733,0.006733
35,3723.43,1.07154,0.49047,1.15973,0.99072,0.99825,0.99491,0.72751,1.02917,0.3735,1.11948,0.006634,0.006634,0.006634
