epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,3829.77,1.07747,0.49172,1.16406,0.99205,1,0.99364,0.73851,1.00958,0.36816,1.11758,0.006535,0.006535,0.006535
37,3935.98,1.06678,0.48283,1.15787,0.99483,1,0.99417,0.74715,1.00268,0.35248,1.0886,0.006436,0.006436,0.006436
38,4042.07,1.0639,0.47761,1.15428,0.99345,0.99065,0.99479,0.73857,0.99698,0.35509,1.09127,0.006337,0.006337,0.006337
39,4148.15,1.06814,0.47732,1.15129,0.99301,0.99605,0.99467,0.73902,1.00505,0.35588,1.09349,0.006238,0.006238,0.006238
40,4254.07,1.05159,0.47349,1.14432,0.98748,1,0.99343,0.74105,0.99422,0.35176,1.086,0.006139,0.006139,0.006139
41,4360.4,1.05272,0.46904,1.14462,0.99534,0.99735,0.99479,0.73972,1.02064,0.35414,1.10375,0.00604,0.00604,0.00604
42,4466.41,1.05311,0.47424,1.14561,0.99243,0.99533,0.99426,0.74554,0.99555,0.3474,1.0789,0.005941,0.005941,0.005941
43,4572.38,1.04042,0.46277,1.1442,0.99444,0.99766,0.99435,0.74702,0.9913,0.33867,1.08316,0.005842,0.005842,0.005842
44,4678.4,1.05041,0.46769,1.15064,0.9949,1,0.99418,0.75128,0.98866,0.34076,1.08555,0.005743,0.005743,0.005743
45,4784.47,1.04735,0.4641,1.15388,0.9947,0.99766,0.99361,0.75054,0.99787,0.34858,1.10616,0.005644,0.005644,0.005644
46,4890.39,1.0395,0.46173,1.14097,0.99534,0.99736,0.99479,0.75597,0.99394,0.34309,1.08173,0.005545,0.005545,0.005545
47,4996.68,1.03839,0.4639,1.1439,0.99302,0.99672,0.99465,0.75619,0.99204,0.3404,1.08894,0.005446,0.005446,0.005446
48,5102.89,1.03149,0.45379,1.14099,0.99302,0.9979,0.99422,0.74279,0.99853,0.35294,1.10734,0.005347,0.005347,0.005347
49,5208.8,1.03819,0.46183,1.14125,0.98796,1,0.99469,0.75481,0.99672,0.34361,1.08929,0.005248,0.005248,0.005248
50,5314.34,1.04431,0.45991,1.14255,0.99254,1,0.99476,0.74561,0.99369,0.33537,1.08417,0.005149,0.005149,0.005149
51,5420.59,1.03073,0.45512,1.14036,0.99384,0.99766,0.99488,0.76236,0.98223,0.33617,1.09272,0.00505,0.00505,0.00505
52,5526.91,1.02869,0.44777,1.14293,0.99429,1,0.99457,0.75388,0.99158,0.33479,1.09565,0.004951,0.004951,0.004951
53,5633.41,1.02565,0.45363,1.13643,0.99525,1,0.99479,0.75433,0.99097,0.33356,1.09346,0.004852,0.004852,0.004852
54,5739.49,1.02861,0.45446,1.13356,0.99301,0.99648,0.99433,0.75196,0.98523,0.33172,1.086,0.004753,0.004753,0.004753
55,5846.4,1.01599,0.44391,1.13562,0.99066,1,0.99469,0.75388,0.99926,0.33639,1.10114,0.004654,0.004654,0.004654
56,5952.57,1.0272,0.4497,1.14253,0.99302,0.99759,0.9946,0.763,0.99005,0.33002,1.09255,0.004555,0.004555,0.004555
57,6058.65,1.02031,0.4459,1.13583,0.99074,0.99997,0.99491,0.75472,0.98615,0.32394,1.08608,0.004456,0.004456,0.004456
58,6165.07,1.02288,0.44585,1.12882,0.9928,0.99766,0.9947,0.75407,0.9841,0.32606,1.08164,0.004357,0.004357,0.004357
59,6271.56,1.00916,0.43524,1.12935,0.99014,1,0.99481,0.76217,0.99019,0.32424,1.08891,0.004258,0.004258,0.004258
60,6377.61,1.01569,0.44407,1.1356,0.98942,0.99766,0.99462,0.75763,0.98911,0.32642,1.09008,0.004159,0.004159,0.004159
61,6483.66,1.01065,0.4384,1.11923,0.99533,0.99691,0.99469,0.75854,0.98725,0.32369,1.07951,0.00406,0.00406,0.00406
62,6589.52,1.00347,0.43483,1.12181,0.99534,0.99734,0.99446,0.76104,0.99338,0.32832,1.09428,0.003961,0.003961,0.003961
63,6695.32,1.00928,0.43819,1.12843,0.99073,0.99853,0.99467,0.76295,0.98873,0.3215,1.08563,0.003862,0.003862,0.003862
64,6801.13,1.00409,0.43518,1.1206,0.99507,0.99533,0.99467,0.7595,0.98449,0.31997,1.07911,0.003763,0.003763,0.003763
65,6907.03,1.00094,0.43334,1.11725,0.99144,1,0.99465,0.75905,0.98217,0.31748,1.07865,0.003664,0.003664,0.003664
66,7012.95,0.99402,0.42929,1.1109,0.99014,1,0.99479,0.76359,0.98823,0.32031,1.08457,0.003565,0.003565,0.003565
67,7119.06,0.99659,0.43053,1.11323,0.98823,1,0.99481,0.76023,0.98563,0.32047,1.07619,0.003466,0.003466,0.003466
68,7225.46,0.99588,0.42069,1.11319,0.99073,0.99897,0.99486,0.75762,0.98779,0.32079,1.08048,0.003367,0.003367,0.003367
69,7331.21,0.99368,0.42601,1.11833,0.9946,0.99533,0.99481,0.7681,0.98046,0.32071,1.07924,0.003268,0.003268,0.003268
70,7437.45,0.98224,0.42476,1.11357,0.99532,0.99412,0.99481,0.7676,0.98456,0.32061,1.08159,0.003169,0.003169,0.003169
71,7543.64,0.98497,0.41897,1.11407,0.99392,0.99299,0.99483,0.76462,0.9833,0.31897,1.08,0.00307,0.00307,0.00307
72,7650.18,0.98259,0.41881,1.1073,0.98932,1,0.99486,0.7672,0.984,0.31517,1.07958,0.002971,0.002971,0.002971
73,7756.3,0.98657,0.42398,1.1106,0.99129,1,0.99491,0.76495,0.98506,0.31653,1.08022,0.002872,0.002872,0.002872
74,7862.17,0.97842,0.41274,1.10519,0.99051,1,0.99491,0.76506,0.98968,0.31854,1.08234,0.002773,0.002773,0.002773
75,7968.33,0.98146,0.41503,1.10783,0.99022,1,0.99493,0.76784,0.98828,0.31661,1.08392,0.002674,0.002674,0.002674
76,8074.2,0.95423,0.40669,1.09411,0.9903,1,0.99495,0.7655,0.9837,0.31331,1.08108,0.002575,0.002575,0.002575
77,8180.07,0.97231,0.41007,1.10663,0.99094,0.99766,0.99498,0.76377,0.98629,0.31456,1.0842,0.002476,0.002476,0.002476
78,8286.11,0.96651,0.40659,1.09853,0.99042,1,0.99498,0.76884,0.98586,0.3134,1.07999,0.002377,0.002377,0.002377
79,8392.41,0.96281,0.405,1.09373,0.9905,1,0.99498,0.76786,0.99106,0.31483,1.08154,0.002278,0.002278,0.002278
80,8498.48,0.96244,0.40788,1.09463,0.9905,1,0.99498,0.76858,0.99052,0.31428,1.08026,0.002179,0.002179,0.002179
81,8604.56,0.96511,0.40408,1.09767,0.99058,1,0.99498,0.76808,0.98996,0.31099,1.07923,0.00208,0.00208,0.00208
82,8710.56,0.95611,0.40126,1.09159,0.99119,1,0.99498,0.76606,0.99118,0.31244,1.0801,0.001981,0.001981,0.001981
83,8816.53,0.95118,0.40006,1.09115,0.99114,1,0.99498,0.76254,0.99088,0.31123,1.07991,0.001882,0.001882,0.001882
84,8922.34,0.94691,0.39734,1.093,0.99304,0.99997,0.99498,0.76164,0.99263,0.31109,1.08171,0.001783,0.001783,0.001783
85,9028.46,0.95132,0.40161,1.09314,0.99304,0.9994,0.99498,0.76312,0.99159,0.31131,1.08011,0.001684,0.001684,0.001684
86,9134.46,0.95251,0.39593,1.08986,0.99303,0.9993,0.99498,0.76073,0.99248,0.31288,1.0774,0.001585,0.001585,0.001585
87,9240.57,0.95505,0.40095,1.09036,0.99041,1,0.99498,0.75951,0.9951,0.31119,1.07734,0.001486,0.001486,0.001486
88,9346.72,0.94409,0.39184,1.09323,0.99042,1,0.99498,0.76092,0.99824,0.31171,1.07995,0.001387,0.001387,0.001387
89,9452.78,0.9381,0.39289,1.08088,0.99268,1,0.99498,0.76268,0.99783,0.31099,1.08003,0.001288,0.001288,0.001288
90,9559.1,0.93261,0.38747,1.07873,0.99534,0.99733,0.995,0.76366,0.99856,0.30922,1.08067,0.001189,0.001189,0.001189
91,9685.25,0.92104,0.33594,1.09097,0.99534,0.99904,0.995,0.76173,1.00039,0.3121,1.0811,0.00109,0.00109,0.00109
92,9790.24,0.91502,0.33191,1.08603,0.99505,1,0.995,0.76279,1.0032,0.31163,1.08052,0.000991,0.000991,0.000991
93,9894.91,0.90486,0.32795,1.07882,0.99704,0.99533,0.995,0.75973,1.00474,0.31237,1.08062,0.000892,0.000892,0.000892
94,9999.65,0.90445,0.32743,1.08017,0.99546,0.99533,0.995,0.75937,1.00571,0.31085,1.08025,0.000793,0.000793,0.000793
95,10104.3,0.89821,0.32528,1.07722,0.99289,1,0.995,0.75986,1.00705,0.31193,1.08098,0.000694,0.000694,0.000694
96,10208.8,0.89997,0.32322,1.08163,0.99275,1,0.995,0.76259,1.00745,0.31261,1.08199,0.000595,0.000595,0.000595
97,10313.5,0.89299,0.31933,1.08119,0.99275,1,0.995,0.76301,1.00724,0.31235,1.08241,0.000496,0.000496,0.000496
98,10418.6,0.88809,0.31879,1.0735,0.99274,1,0.995,0.76358,1.00772,0.31222,1.08282,0.000397,0.000397,0.000397
99,10523.7,0.88521,0.31538,1.06967,0.99272,1,0.995,0.76283,1.00849,0.31243,1.08313,0.000298,0.000298,0.000298
100,10628.7,0.88161,0.31315,1.06972,0.99534,0.99802,0.995,0.76207,1.00929,0.31375,1.08343,0.000199,0.000199,0.000199
